study_accession,sample_accession,experiment_accession,Run,Assay.Type,sample_title
PRJEB6070,SAMEA2467002,ERX445006,ERR479174,WGS,Human stool sample
PRJEB6070,SAMEA2467007,ERX445007,ERR479175,WGS,Human stool sample
PRJEB6070,SAMEA2467007,ERX445008,ERR479176,WGS,Human stool sample
PRJEB6070,SAMEA2466976,ERX445009,ERR479177,WGS,Human stool sample
PRJEB6070,SAMEA2466976,ERX445010,ERR479178,WGS,Human stool sample
PRJEB6070,SAMEA2466976,ERX445011,ERR479179,WGS,Human stool sample
PRJEB6070,SAMEA2466976,ERX445012,ERR479180,WGS,Human stool sample
PRJEB6070,SAMEA2466895,ERX445013,ERR479181,WGS,Human stool sample
PRJEB6070,SAMEA2466895,ERX445014,ERR479182,WGS,Human stool sample
PRJEB6070,SAMEA2467041,ERX445015,ERR479183,WGS,Human stool sample
PRJEB6070,SAMEA2467041,ERX445016,ERR479184,WGS,Human stool sample
PRJEB6070,SAMEA2467041,ERX445017,ERR479185,WGS,Human stool sample
PRJEB6070,SAMEA2467041,ERX445018,ERR479186,WGS,Human stool sample
PRJEB6070,SAMEA2466958,ERX445019,ERR479187,WGS,Human stool sample
PRJEB6070,SAMEA2466958,ERX445020,ERR479188,WGS,Human stool sample
PRJEB6070,SAMEA2466958,ERX445021,ERR479189,WGS,Human stool sample
PRJEB6070,SAMEA2467006,ERX445022,ERR479190,WGS,Human stool sample
PRJEB6070,SAMEA2467006,ERX445023,ERR479191,WGS,Human stool sample
PRJEB6070,SAMEA2467006,ERX445024,ERR479192,WGS,Human stool sample
PRJEB6070,SAMEA2466908,ERX445025,ERR479193,WGS,Human stool sample
PRJEB6070,SAMEA2466908,ERX445026,ERR479194,WGS,Human stool sample
PRJEB6070,SAMEA2467023,ERX445027,ERR479195,WGS,Human stool sample
PRJEB6070,SAMEA2467023,ERX445028,ERR479196,WGS,Human stool sample
PRJEB6070,SAMEA2467023,ERX445029,ERR479197,WGS,Human stool sample
PRJEB6070,SAMEA2467023,ERX445030,ERR479198,WGS,Human stool sample
PRJEB6070,SAMEA2466954,ERX445031,ERR479199,WGS,Human stool sample
PRJEB6070,SAMEA2466954,ERX445032,ERR479200,WGS,Human stool sample
PRJEB6070,SAMEA2466920,ERX445033,ERR479201,WGS,Human stool sample
PRJEB6070,SAMEA2466920,ERX445034,ERR479202,WGS,Human stool sample
PRJEB6070,SAMEA2467026,ERX445035,ERR479203,WGS,Human stool sample
PRJEB6070,SAMEA2467026,ERX445036,ERR479204,WGS,Human stool sample
PRJEB6070,SAMEA2467026,ERX445037,ERR479205,WGS,Human stool sample
PRJEB6070,SAMEA2467026,ERX445038,ERR479206,WGS,Human stool sample
PRJEB6070,SAMEA2466950,ERX445039,ERR479207,WGS,Human stool sample
PRJEB6070,SAMEA2466950,ERX445040,ERR479208,WGS,Human stool sample
PRJEB6070,SAMEA2467034,ERX445041,ERR479209,WGS,Human stool sample
PRJEB6070,SAMEA2467034,ERX445042,ERR479210,WGS,Human stool sample
PRJEB6070,SAMEA2467034,ERX445043,ERR479211,WGS,Human stool sample
PRJEB6070,SAMEA2467034,ERX445044,ERR479212,WGS,Human stool sample
PRJEB6070,SAMEA2466899,ERX445045,ERR479213,WGS,Human stool sample
PRJEB6070,SAMEA2466899,ERX445046,ERR479214,WGS,Human stool sample
PRJEB6070,SAMEA2466899,ERX445047,ERR479215,WGS,Human stool sample
PRJEB6070,SAMEA2466899,ERX445048,ERR479216,WGS,Human stool sample
PRJEB6070,SAMEA2466949,ERX445049,ERR479217,WGS,Human stool sample
PRJEB6070,SAMEA2466949,ERX445050,ERR479218,WGS,Human stool sample
PRJEB6070,SAMEA2467004,ERX445051,ERR479219,WGS,Human stool sample
PRJEB6070,SAMEA2467004,ERX445052,ERR479220,WGS,Human stool sample
PRJEB6070,SAMEA2467004,ERX445053,ERR479221,WGS,Human stool sample
PRJEB6070,SAMEA2467004,ERX445054,ERR479222,WGS,Human stool sample
PRJEB6070,SAMEA2466963,ERX445055,ERR479223,WGS,Human stool sample
PRJEB6070,SAMEA2466963,ERX445056,ERR479224,WGS,Human stool sample
PRJEB6070,SAMEA2466930,ERX445057,ERR479225,WGS,Human stool sample
PRJEB6070,SAMEA2466930,ERX445058,ERR479226,WGS,Human stool sample
PRJEB6070,SAMEA2466975,ERX445059,ERR479227,WGS,Human stool sample
PRJEB6070,SAMEA2466975,ERX445060,ERR479228,WGS,Human stool sample
PRJEB6070,SAMEA2466975,ERX445061,ERR479229,WGS,Human stool sample
PRJEB6070,SAMEA2466975,ERX445062,ERR479230,WGS,Human stool sample
PRJEB6070,SAMEA2467008,ERX445063,ERR479231,WGS,Human stool sample
PRJEB6070,SAMEA2467008,ERX445064,ERR479232,WGS,Human stool sample
PRJEB6070,SAMEA2467008,ERX445065,ERR479233,WGS,Human stool sample
PRJEB6070,SAMEA2467008,ERX445066,ERR479234,WGS,Human stool sample
PRJEB6070,SAMEA2466986,ERX445067,ERR479235,WGS,Human stool sample
PRJEB6070,SAMEA2466986,ERX445068,ERR479236,WGS,Human stool sample
PRJEB6070,SAMEA2466986,ERX445069,ERR479237,WGS,Human stool sample
PRJEB6070,SAMEA2466994,ERX445070,ERR479238,WGS,Human stool sample
PRJEB6070,SAMEA2466994,ERX445071,ERR479239,WGS,Human stool sample
PRJEB6070,SAMEA2466994,ERX445072,ERR479240,WGS,Human stool sample
PRJEB6070,SAMEA2466906,ERX445073,ERR479241,WGS,Human stool sample
PRJEB6070,SAMEA2466906,ERX445074,ERR479242,WGS,Human stool sample
PRJEB6070,SAMEA2466926,ERX445075,ERR479243,WGS,Human stool sample
PRJEB6070,SAMEA2466926,ERX445076,ERR479244,WGS,Human stool sample
PRJEB6070,SAMEA2466968,ERX445077,ERR479245,WGS,Human stool sample
PRJEB6070,SAMEA2466968,ERX445078,ERR479246,WGS,Human stool sample
PRJEB6070,SAMEA2466968,ERX445079,ERR479247,WGS,Human stool sample
PRJEB6070,SAMEA2466968,ERX445080,ERR479248,WGS,Human stool sample
PRJEB6070,SAMEA2466999,ERX445081,ERR479249,WGS,Human stool sample
PRJEB6070,SAMEA2466999,ERX445082,ERR479250,WGS,Human stool sample
PRJEB6070,SAMEA2466938,ERX445083,ERR479251,WGS,Human stool sample
PRJEB6070,SAMEA2466938,ERX445084,ERR479252,WGS,Human stool sample
PRJEB6070,SAMEA2466938,ERX445085,ERR479253,WGS,Human stool sample
PRJEB6070,SAMEA2466955,ERX445086,ERR479254,WGS,Human stool sample
PRJEB6070,SAMEA2466991,ERX445087,ERR479255,WGS,Human stool sample
PRJEB6070,SAMEA2466991,ERX445088,ERR479256,WGS,Human stool sample
PRJEB6070,SAMEA2466991,ERX445089,ERR479257,WGS,Human stool sample
PRJEB6070,SAMEA2466991,ERX445090,ERR479258,WGS,Human stool sample
PRJEB6070,SAMEA2467032,ERX445091,ERR479259,WGS,Human stool sample
PRJEB6070,SAMEA2467032,ERX445092,ERR479260,WGS,Human stool sample
PRJEB6070,SAMEA2467032,ERX445093,ERR479261,WGS,Human stool sample
PRJEB6070,SAMEA2467032,ERX445094,ERR479262,WGS,Human stool sample
PRJEB6070,SAMEA2467016,ERX445095,ERR479263,WGS,Human stool sample
PRJEB6070,SAMEA2467016,ERX445096,ERR479264,WGS,Human stool sample
PRJEB6070,SAMEA2467016,ERX445097,ERR479265,WGS,Human stool sample
PRJEB6070,SAMEA2467016,ERX445098,ERR479266,WGS,Human stool sample
PRJEB6070,SAMEA2466982,ERX445099,ERR479267,WGS,Human stool sample
PRJEB6070,SAMEA2466982,ERX445100,ERR479268,WGS,Human stool sample
PRJEB6070,SAMEA2466982,ERX445101,ERR479269,WGS,Human stool sample
PRJEB6070,SAMEA2466913,ERX445102,ERR479270,WGS,Human stool sample
PRJEB6070,SAMEA2466913,ERX445103,ERR479271,WGS,Human stool sample
PRJEB6070,SAMEA2466913,ERX445104,ERR479272,WGS,Human stool sample
PRJEB6070,SAMEA2466913,ERX445105,ERR479273,WGS,Human stool sample
PRJEB6070,SAMEA2466909,ERX445106,ERR479274,WGS,Human stool sample
PRJEB6070,SAMEA2466909,ERX445107,ERR479275,WGS,Human stool sample
PRJEB6070,SAMEA2466990,ERX445108,ERR479276,WGS,Human stool sample
PRJEB6070,SAMEA2466990,ERX445109,ERR479277,WGS,Human stool sample
PRJEB6070,SAMEA2466990,ERX445110,ERR479278,WGS,Human stool sample
PRJEB6070,SAMEA2466990,ERX445111,ERR479279,WGS,Human stool sample
PRJEB6070,SAMEA2466995,ERX445112,ERR479280,WGS,Human stool sample
PRJEB6070,SAMEA2466995,ERX445113,ERR479281,WGS,Human stool sample
PRJEB6070,SAMEA2466995,ERX445114,ERR479282,WGS,Human stool sample
PRJEB6070,SAMEA2466995,ERX445115,ERR479283,WGS,Human stool sample
PRJEB6070,SAMEA2466928,ERX445116,ERR479284,WGS,Human stool sample
PRJEB6070,SAMEA2466928,ERX445117,ERR479285,WGS,Human stool sample
PRJEB6070,SAMEA2467022,ERX445118,ERR479286,WGS,Human stool sample
PRJEB6070,SAMEA2467022,ERX445119,ERR479287,WGS,Human stool sample
PRJEB6070,SAMEA2467022,ERX445120,ERR479288,WGS,Human stool sample
PRJEB6070,SAMEA2467022,ERX445121,ERR479289,WGS,Human stool sample
PRJEB6070,SAMEA2467001,ERX445122,ERR479290,WGS,Human stool sample
PRJEB6070,SAMEA2467001,ERX445123,ERR479291,WGS,Human stool sample
PRJEB6070,SAMEA2467001,ERX445124,ERR479292,WGS,Human stool sample
PRJEB6070,SAMEA2467001,ERX445125,ERR479293,WGS,Human stool sample
PRJEB6070,SAMEA2467020,ERX445126,ERR479294,WGS,Human stool sample
PRJEB6070,SAMEA2467020,ERX445127,ERR479295,WGS,Human stool sample
PRJEB6070,SAMEA2467020,ERX445128,ERR479296,WGS,Human stool sample
PRJEB6070,SAMEA2467020,ERX445129,ERR479297,WGS,Human stool sample
PRJEB6070,SAMEA2466889,ERX445130,ERR479298,WGS,Human stool sample
PRJEB6070,SAMEA2466977,ERX445131,ERR479299,WGS,Human stool sample
PRJEB6070,SAMEA2466977,ERX445132,ERR479300,WGS,Human stool sample
PRJEB6070,SAMEA2466977,ERX445133,ERR479301,WGS,Human stool sample
PRJEB6070,SAMEA2466946,ERX445134,ERR479302,WGS,Human stool sample
PRJEB6070,SAMEA2466946,ERX445135,ERR479303,WGS,Human stool sample
PRJEB6070,SAMEA2466918,ERX445136,ERR479304,WGS,Human stool sample
PRJEB6070,SAMEA2466918,ERX445137,ERR479305,WGS,Human stool sample
PRJEB6070,SAMEA2466918,ERX445138,ERR479306,WGS,Human stool sample
PRJEB6070,SAMEA2466918,ERX445139,ERR479307,WGS,Human stool sample
PRJEB6070,SAMEA2466992,ERX445140,ERR479308,WGS,Human stool sample
PRJEB6070,SAMEA2466992,ERX445141,ERR479309,WGS,Human stool sample
PRJEB6070,SAMEA2466992,ERX445142,ERR479310,WGS,Human stool sample
PRJEB6070,SAMEA2466992,ERX445143,ERR479311,WGS,Human stool sample
PRJEB6070,SAMEA2467040,ERX445144,ERR479312,WGS,Human stool sample
PRJEB6070,SAMEA2467040,ERX445145,ERR479313,WGS,Human stool sample
PRJEB6070,SAMEA2467040,ERX445146,ERR479314,WGS,Human stool sample
PRJEB6070,SAMEA2467040,ERX445147,ERR479315,WGS,Human stool sample
PRJEB6070,SAMEA2466988,ERX445148,ERR479316,WGS,Human stool sample
PRJEB6070,SAMEA2466988,ERX445149,ERR479317,WGS,Human stool sample
PRJEB6070,SAMEA2466988,ERX445150,ERR479318,WGS,Human stool sample
PRJEB6070,SAMEA2466891,ERX445151,ERR479319,WGS,Human stool sample
PRJEB6070,SAMEA2466891,ERX445152,ERR479320,WGS,Human stool sample
PRJEB6070,SAMEA2466981,ERX445153,ERR479321,WGS,Human stool sample
PRJEB6070,SAMEA2466981,ERX445154,ERR479322,WGS,Human stool sample
PRJEB6070,SAMEA2466981,ERX445155,ERR479323,WGS,Human stool sample
PRJEB6070,SAMEA2466981,ERX445156,ERR479324,WGS,Human stool sample
PRJEB6070,SAMEA2466902,ERX445157,ERR479325,WGS,Human stool sample
PRJEB6070,SAMEA2466902,ERX445158,ERR479326,WGS,Human stool sample
PRJEB6070,SAMEA2466960,ERX445159,ERR479327,WGS,Human stool sample
PRJEB6070,SAMEA2466960,ERX445160,ERR479328,WGS,Human stool sample
PRJEB6070,SAMEA2466935,ERX445161,ERR479329,WGS,Human stool sample
PRJEB6070,SAMEA2466935,ERX445162,ERR479330,WGS,Human stool sample
PRJEB6070,SAMEA2466932,ERX445163,ERR479331,WGS,Human stool sample
PRJEB6070,SAMEA2466932,ERX445164,ERR479332,WGS,Human stool sample
PRJEB6070,SAMEA2466932,ERX445165,ERR479333,WGS,Human stool sample
PRJEB6070,SAMEA2466932,ERX445166,ERR479334,WGS,Human stool sample
PRJEB6070,SAMEA2466970,ERX445167,ERR479335,WGS,Human stool sample
PRJEB6070,SAMEA2466970,ERX445168,ERR479336,WGS,Human stool sample
PRJEB6070,SAMEA2466970,ERX445169,ERR479337,WGS,Human stool sample
PRJEB6070,SAMEA2466970,ERX445170,ERR479338,WGS,Human stool sample
PRJEB6070,SAMEA2466892,ERX445171,ERR479339,WGS,Human stool sample
PRJEB6070,SAMEA2466892,ERX445172,ERR479340,WGS,Human stool sample
PRJEB6070,SAMEA2466985,ERX445173,ERR479341,WGS,Human stool sample
PRJEB6070,SAMEA2466985,ERX445174,ERR479342,WGS,Human stool sample
PRJEB6070,SAMEA2466951,ERX445175,ERR479343,WGS,Human stool sample
PRJEB6070,SAMEA2466951,ERX445176,ERR479344,WGS,Human stool sample
PRJEB6070,SAMEA2466951,ERX445177,ERR479345,WGS,Human stool sample
PRJEB6070,SAMEA2466924,ERX445178,ERR479346,WGS,Human stool sample
PRJEB6070,SAMEA2466924,ERX445179,ERR479347,WGS,Human stool sample
PRJEB6070,SAMEA2466937,ERX445180,ERR479348,WGS,Human stool sample
PRJEB6070,SAMEA2466937,ERX445181,ERR479349,WGS,Human stool sample
PRJEB6070,SAMEA2466937,ERX445182,ERR479350,WGS,Human stool sample
PRJEB6070,SAMEA2466983,ERX445183,ERR479351,WGS,Human stool sample
PRJEB6070,SAMEA2466983,ERX445184,ERR479352,WGS,Human stool sample
PRJEB6070,SAMEA2466917,ERX445185,ERR479353,WGS,Human stool sample
PRJEB6070,SAMEA2466917,ERX445186,ERR479354,WGS,Human stool sample
PRJEB6070,SAMEA2466934,ERX445187,ERR479355,WGS,Human stool sample
PRJEB6070,SAMEA2466934,ERX445188,ERR479356,WGS,Human stool sample
PRJEB6070,SAMEA2466922,ERX445189,ERR479357,WGS,Human stool sample
PRJEB6070,SAMEA2466922,ERX445190,ERR479358,WGS,Human stool sample
PRJEB6070,SAMEA2466956,ERX445191,ERR479359,WGS,Human stool sample
PRJEB6070,SAMEA2466956,ERX445192,ERR479360,WGS,Human stool sample
PRJEB6070,SAMEA2466956,ERX445193,ERR479361,WGS,Human stool sample
PRJEB6070,SAMEA2466914,ERX445194,ERR479362,WGS,Human stool sample
PRJEB6070,SAMEA2466914,ERX445195,ERR479363,WGS,Human stool sample
PRJEB6070,SAMEA2466914,ERX445196,ERR479364,WGS,Human stool sample
PRJEB6070,SAMEA2466914,ERX445197,ERR479365,WGS,Human stool sample
PRJEB6070,SAMEA2466936,ERX445198,ERR479366,WGS,Human stool sample
PRJEB6070,SAMEA2466936,ERX445199,ERR479367,WGS,Human stool sample
PRJEB6070,SAMEA2466936,ERX445200,ERR479368,WGS,Human stool sample
PRJEB6070,SAMEA2466936,ERX445201,ERR479369,WGS,Human stool sample
PRJEB6070,SAMEA2467033,ERX445202,ERR479370,WGS,Human stool sample
PRJEB6070,SAMEA2467033,ERX445203,ERR479371,WGS,Human stool sample
PRJEB6070,SAMEA2467033,ERX445204,ERR479372,WGS,Human stool sample
PRJEB6070,SAMEA2467033,ERX445205,ERR479373,WGS,Human stool sample
PRJEB6070,SAMEA2467042,ERX445206,ERR479374,WGS,Human stool sample
PRJEB6070,SAMEA2467042,ERX445207,ERR479375,WGS,Human stool sample
PRJEB6070,SAMEA2467042,ERX445208,ERR479376,WGS,Human stool sample
PRJEB6070,SAMEA2467042,ERX445209,ERR479377,WGS,Human stool sample
PRJEB6070,SAMEA2467029,ERX445210,ERR479378,WGS,Human stool sample
PRJEB6070,SAMEA2467029,ERX445211,ERR479379,WGS,Human stool sample
PRJEB6070,SAMEA2467029,ERX445212,ERR479380,WGS,Human stool sample
PRJEB6070,SAMEA2467029,ERX445213,ERR479381,WGS,Human stool sample
PRJEB6070,SAMEA2466945,ERX445214,ERR479382,WGS,Human stool sample
PRJEB6070,SAMEA2466945,ERX445215,ERR479383,WGS,Human stool sample
PRJEB6070,SAMEA2466925,ERX445216,ERR479384,WGS,Human stool sample
PRJEB6070,SAMEA2466925,ERX445217,ERR479385,WGS,Human stool sample
PRJEB6070,SAMEA2466925,ERX445218,ERR479386,WGS,Human stool sample
PRJEB6070,SAMEA2466921,ERX445219,ERR479387,WGS,Human stool sample
PRJEB6070,SAMEA2466921,ERX445220,ERR479388,WGS,Human stool sample
PRJEB6070,SAMEA2466927,ERX445221,ERR479389,WGS,Human stool sample
PRJEB6070,SAMEA2466927,ERX445222,ERR479390,WGS,Human stool sample
PRJEB6070,SAMEA2466978,ERX445223,ERR479391,WGS,Human stool sample
PRJEB6070,SAMEA2466978,ERX445224,ERR479392,WGS,Human stool sample
PRJEB6070,SAMEA2466898,ERX445225,ERR479393,WGS,Human stool sample
PRJEB6070,SAMEA2466898,ERX445226,ERR479394,WGS,Human stool sample
PRJEB6070,SAMEA2466923,ERX445227,ERR479395,WGS,Human stool sample
PRJEB6070,SAMEA2466923,ERX445228,ERR479396,WGS,Human stool sample
PRJEB6070,SAMEA2467012,ERX445229,ERR479397,WGS,Human stool sample
PRJEB6070,SAMEA2467012,ERX445230,ERR479398,WGS,Human stool sample
PRJEB6070,SAMEA2467012,ERX445231,ERR479399,WGS,Human stool sample
PRJEB6070,SAMEA2467012,ERX445232,ERR479400,WGS,Human stool sample
PRJEB6070,SAMEA2466980,ERX445233,ERR479401,WGS,Human stool sample
PRJEB6070,SAMEA2466980,ERX445234,ERR479402,WGS,Human stool sample
PRJEB6070,SAMEA2466980,ERX445235,ERR479403,WGS,Human stool sample
PRJEB6070,SAMEA2466980,ERX445236,ERR479404,WGS,Human stool sample
PRJEB6070,SAMEA2467019,ERX445237,ERR479405,WGS,Human stool sample
PRJEB6070,SAMEA2467019,ERX445238,ERR479406,WGS,Human stool sample
PRJEB6070,SAMEA2467019,ERX445239,ERR479407,WGS,Human stool sample
PRJEB6070,SAMEA2467019,ERX445240,ERR479408,WGS,Human stool sample
PRJEB6070,SAMEA2466969,ERX445241,ERR479409,WGS,Human stool sample
PRJEB6070,SAMEA2466969,ERX445242,ERR479410,WGS,Human stool sample
PRJEB6070,SAMEA2466969,ERX445243,ERR479411,WGS,Human stool sample
PRJEB6070,SAMEA2466969,ERX445244,ERR479412,WGS,Human stool sample
PRJEB6070,SAMEA2466894,ERX445245,ERR479413,WGS,Human stool sample
PRJEB6070,SAMEA2466894,ERX445246,ERR479414,WGS,Human stool sample
PRJEB6070,SAMEA2466948,ERX445247,ERR479415,WGS,Human stool sample
PRJEB6070,SAMEA2466948,ERX445248,ERR479416,WGS,Human stool sample
PRJEB6070,SAMEA2466964,ERX445249,ERR479417,WGS,Human stool sample
PRJEB6070,SAMEA2466964,ERX445250,ERR479418,WGS,Human stool sample
PRJEB6070,SAMEA2467066,ERX445251,ERR479419,WGS,Human stool sample
PRJEB6070,SAMEA2467066,ERX445252,ERR479420,WGS,Human stool sample
PRJEB6070,SAMEA2467066,ERX445253,ERR479421,WGS,Human stool sample
PRJEB6070,SAMEA2467066,ERX445254,ERR479422,WGS,Human stool sample
PRJEB6070,SAMEA2467077,ERX445255,ERR479423,WGS,Human stool sample
PRJEB6070,SAMEA2467077,ERX445256,ERR479424,WGS,Human stool sample
PRJEB6070,SAMEA2467077,ERX445257,ERR479425,WGS,Human stool sample
PRJEB6070,SAMEA2467077,ERX445258,ERR479426,WGS,Human stool sample
PRJEB6070,SAMEA2467077,ERX445259,ERR479427,WGS,Human stool sample
PRJEB6070,SAMEA2467065,ERX445260,ERR479428,WGS,Human stool sample
PRJEB6070,SAMEA2467065,ERX445261,ERR479429,WGS,Human stool sample
PRJEB6070,SAMEA2467065,ERX445262,ERR479430,WGS,Human stool sample
PRJEB6070,SAMEA2467065,ERX445263,ERR479431,WGS,Human stool sample
PRJEB6070,SAMEA2467064,ERX445264,ERR479432,WGS,Human stool sample
PRJEB6070,SAMEA2467064,ERX445265,ERR479433,WGS,Human stool sample
PRJEB6070,SAMEA2467064,ERX445266,ERR479434,WGS,Human stool sample
PRJEB6070,SAMEA2467064,ERX445267,ERR479435,WGS,Human stool sample
PRJEB6070,SAMEA2467063,ERX445268,ERR479436,WGS,Human stool sample
PRJEB6070,SAMEA2467063,ERX445269,ERR479437,WGS,Human stool sample
PRJEB6070,SAMEA2467063,ERX445270,ERR479438,WGS,Human stool sample
PRJEB6070,SAMEA2467063,ERX445271,ERR479439,WGS,Human stool sample
PRJEB6070,SAMEA2467078,ERX445272,ERR479440,WGS,Human stool sample
PRJEB6070,SAMEA2467078,ERX445273,ERR479441,WGS,Human stool sample
PRJEB6070,SAMEA2467078,ERX445274,ERR479442,WGS,Human stool sample
PRJEB6070,SAMEA2467078,ERX445275,ERR479443,WGS,Human stool sample
PRJEB6070,SAMEA2467062,ERX445276,ERR479444,WGS,Human stool sample
PRJEB6070,SAMEA2467062,ERX445277,ERR479445,WGS,Human stool sample
PRJEB6070,SAMEA2467062,ERX445278,ERR479446,WGS,Human stool sample
PRJEB6070,SAMEA2467062,ERX445279,ERR479447,WGS,Human stool sample
PRJEB6070,SAMEA2467061,ERX445280,ERR479448,WGS,Human stool sample
PRJEB6070,SAMEA2467061,ERX445281,ERR479449,WGS,Human stool sample
PRJEB6070,SAMEA2467061,ERX445282,ERR479450,WGS,Human stool sample
PRJEB6070,SAMEA2467061,ERX445283,ERR479451,WGS,Human stool sample
PRJEB6070,SAMEA2467060,ERX445284,ERR479452,WGS,Human stool sample
PRJEB6070,SAMEA2467060,ERX445285,ERR479453,WGS,Human stool sample
PRJEB6070,SAMEA2467060,ERX445286,ERR479454,WGS,Human stool sample
PRJEB6070,SAMEA2467060,ERX445287,ERR479455,WGS,Human stool sample
PRJEB6070,SAMEA2467072,ERX445288,ERR479456,WGS,Human stool sample
PRJEB6070,SAMEA2467072,ERX445289,ERR479457,WGS,Human stool sample
PRJEB6070,SAMEA2467072,ERX445290,ERR479458,WGS,Human stool sample
PRJEB6070,SAMEA2467072,ERX445291,ERR479459,WGS,Human stool sample
PRJEB6070,SAMEA2467059,ERX445292,ERR479460,WGS,Human stool sample
PRJEB6070,SAMEA2467059,ERX445293,ERR479461,WGS,Human stool sample
PRJEB6070,SAMEA2467059,ERX445294,ERR479462,WGS,Human stool sample
PRJEB6070,SAMEA2467059,ERX445295,ERR479463,WGS,Human stool sample
PRJEB6070,SAMEA2467058,ERX445296,ERR479464,WGS,Human stool sample
PRJEB6070,SAMEA2467058,ERX445297,ERR479465,WGS,Human stool sample
PRJEB6070,SAMEA2467058,ERX445298,ERR479466,WGS,Human stool sample
PRJEB6070,SAMEA2467058,ERX445299,ERR479467,WGS,Human stool sample
PRJEB6070,SAMEA2467057,ERX445300,ERR479468,WGS,Human stool sample
PRJEB6070,SAMEA2467057,ERX445301,ERR479469,WGS,Human stool sample
PRJEB6070,SAMEA2467057,ERX445302,ERR479470,WGS,Human stool sample
PRJEB6070,SAMEA2467057,ERX445303,ERR479471,WGS,Human stool sample
PRJEB6070,SAMEA2467056,ERX445304,ERR479472,WGS,Human stool sample
PRJEB6070,SAMEA2467056,ERX445305,ERR479473,WGS,Human stool sample
PRJEB6070,SAMEA2467056,ERX445306,ERR479474,WGS,Human stool sample
PRJEB6070,SAMEA2467056,ERX445307,ERR479475,WGS,Human stool sample
PRJEB6070,SAMEA2467068,ERX445308,ERR479476,WGS,Human stool sample
PRJEB6070,SAMEA2467068,ERX445309,ERR479477,WGS,Human stool sample
PRJEB6070,SAMEA2467068,ERX445310,ERR479478,WGS,Human stool sample
PRJEB6070,SAMEA2467068,ERX445311,ERR479479,WGS,Human stool sample
PRJEB6070,SAMEA2467055,ERX445312,ERR479480,WGS,Human stool sample
PRJEB6070,SAMEA2467055,ERX445313,ERR479481,WGS,Human stool sample
PRJEB6070,SAMEA2467055,ERX445314,ERR479482,WGS,Human stool sample
PRJEB6070,SAMEA2467055,ERX445315,ERR479483,WGS,Human stool sample
PRJEB6070,SAMEA2467073,ERX445316,ERR479484,WGS,Human stool sample
PRJEB6070,SAMEA2467073,ERX445317,ERR479485,WGS,Human stool sample
PRJEB6070,SAMEA2467073,ERX445318,ERR479486,WGS,Human stool sample
PRJEB6070,SAMEA2467073,ERX445319,ERR479487,WGS,Human stool sample
PRJEB6070,SAMEA2467054,ERX445320,ERR479488,WGS,Human stool sample
PRJEB6070,SAMEA2467054,ERX445321,ERR479489,WGS,Human stool sample
PRJEB6070,SAMEA2467054,ERX445322,ERR479490,WGS,Human stool sample
PRJEB6070,SAMEA2467054,ERX445323,ERR479491,WGS,Human stool sample
PRJEB6070,SAMEA2467080,ERX445324,ERR479492,WGS,Human stool sample
PRJEB6070,SAMEA2467080,ERX445325,ERR479493,WGS,Human stool sample
PRJEB6070,SAMEA2467080,ERX445326,ERR479494,WGS,Human stool sample
PRJEB6070,SAMEA2467080,ERX445327,ERR479495,WGS,Human stool sample
PRJEB6070,SAMEA2467053,ERX445328,ERR479496,WGS,Human stool sample
PRJEB6070,SAMEA2467053,ERX445329,ERR479497,WGS,Human stool sample
PRJEB6070,SAMEA2467053,ERX445330,ERR479498,WGS,Human stool sample
PRJEB6070,SAMEA2467053,ERX445331,ERR479499,WGS,Human stool sample
PRJEB6070,SAMEA2467076,ERX445332,ERR479500,WGS,Human stool sample
PRJEB6070,SAMEA2467076,ERX445333,ERR479501,WGS,Human stool sample
PRJEB6070,SAMEA2467076,ERX445334,ERR479502,WGS,Human stool sample
PRJEB6070,SAMEA2467076,ERX445335,ERR479503,WGS,Human stool sample
PRJEB6070,SAMEA2467070,ERX445336,ERR479504,WGS,Human stool sample
PRJEB6070,SAMEA2467070,ERX445337,ERR479505,WGS,Human stool sample
PRJEB6070,SAMEA2467070,ERX445338,ERR479506,WGS,Human stool sample
PRJEB6070,SAMEA2467070,ERX445339,ERR479507,WGS,Human stool sample
PRJEB6070,SAMEA2467052,ERX445340,ERR479508,WGS,Human stool sample
PRJEB6070,SAMEA2467052,ERX445341,ERR479509,WGS,Human stool sample
PRJEB6070,SAMEA2467052,ERX445342,ERR479510,WGS,Human stool sample
PRJEB6070,SAMEA2467052,ERX445343,ERR479511,WGS,Human stool sample
PRJEB6070,SAMEA2467067,ERX445344,ERR479512,WGS,Human stool sample
PRJEB6070,SAMEA2467067,ERX445345,ERR479513,WGS,Human stool sample
PRJEB6070,SAMEA2467067,ERX445346,ERR479514,WGS,Human stool sample
PRJEB6070,SAMEA2467067,ERX445347,ERR479515,WGS,Human stool sample
PRJEB6070,SAMEA2467051,ERX445348,ERR479516,WGS,Human stool sample
PRJEB6070,SAMEA2467051,ERX445349,ERR479517,WGS,Human stool sample
PRJEB6070,SAMEA2467051,ERX445350,ERR479518,WGS,Human stool sample
PRJEB6070,SAMEA2467051,ERX445351,ERR479519,WGS,Human stool sample
PRJEB6070,SAMEA2467050,ERX445352,ERR479520,WGS,Human stool sample
PRJEB6070,SAMEA2467050,ERX445353,ERR479521,WGS,Human stool sample
PRJEB6070,SAMEA2467050,ERX445354,ERR479522,WGS,Human stool sample
